BEGIN_DATA,,,,
year,month,day,hour,demand
2016,1,1,1,471447
2016,1,1,2,471075
2016,1,1,3,456738
2016,1,1,4,452536
2016,1,1,5,438805
2016,1,1,6,423372
2016,1,1,7,411107
2016,1,1,8,400544
2016,1,1,9,390924
2016,1,1,10,383932
2016,1,1,11,382310
2016,1,1,12,385826
2016,1,1,13,391017
2016,1,1,14,398612
2016,1,1,15,407628
2016,1,1,16,420381
2016,1,1,17,431874
2016,1,1,18,438592
2016,1,1,19,440451
2016,1,1,20,438155
2016,1,1,21,432438
2016,1,1,22,428977
2016,1,1,23,430918
2016,1,1,24,445173
2016,1,2,1,460286
2016,1,2,2,466042
2016,1,2,3,465454
2016,1,2,4,462182
2016,1,2,5,450658
2016,1,2,6,435002
2016,1,2,7,417978
2016,1,2,8,406691
2016,1,2,9,397500
2016,1,2,10,393516
2016,1,2,11,392637
2016,1,2,12,397057
2016,1,2,13,407267
2016,1,2,14,421171
2016,1,2,15,435389
2016,1,2,16,445673
2016,1,2,17,450610
2016,1,2,18,449335
2016,1,2,19,444053
2016,1,2,20,435753
2016,1,2,21,427647
2016,1,2,22,421199
2016,1,2,23,424130
2016,1,2,24,441853
2016,1,3,1,461914
2016,1,3,2,469652
2016,1,3,3,470765
2016,1,3,4,467598
2016,1,3,5,456463
2016,1,3,6,441967
2016,1,3,7,427441
2016,1,3,8,414124
2016,1,3,9,405121
2016,1,3,10,400169
2016,1,3,11,398522
2016,1,3,12,401221
2016,1,3,13,409267
2016,1,3,14,420840
2016,1,3,15,433606
2016,1,3,16,440377
2016,1,3,17,440018
2016,1,3,18,435294
2016,1,3,19,431033
2016,1,3,20,427246
2016,1,3,21,422423
2016,1,3,22,418905
2016,1,3,23,424437
2016,1,3,24,444157
2016,1,4,1,464068
2016,1,4,2,474552
2016,1,4,3,476947
2016,1,4,4,469567
2016,1,4,5,452694
2016,1,4,6,432416
2016,1,4,7,421560
2016,1,4,8,410580
2016,1,4,9,404648
2016,1,4,10,403340
2016,1,4,11,408283
2016,1,4,12,424088
2016,1,4,13,458010
2016,1,4,14,490096
2016,1,4,15,503386
2016,1,4,16,505706
2016,1,4,17,505123
2016,1,4,18,499884
2016,1,4,19,493462
2016,1,4,20,487912
2016,1,4,21,483365
2016,1,4,22,480129
2016,1,4,23,484775
2016,1,4,24,504077
2016,1,5,1,527921
2016,1,5,2,539041
2016,1,5,3,539720
2016,1,5,4,531859
2016,1,5,5,511892
2016,1,5,6,487255
2016,1,5,7,470125
2016,1,5,8,459556
2016,1,5,9,452889
2016,1,5,10,450892
2016,1,5,11,456005
2016,1,5,12,472721
2016,1,5,13,506426
2016,1,5,14,537457
2016,1,5,15,548010
2016,1,5,16,539054
2016,1,5,17,530859
2016,1,5,18,519185
2016,1,5,19,507026
2016,1,5,20,498039
2016,1,5,21,490121
2016,1,5,22,485440
2016,1,5,23,490058
2016,1,5,24,511088
2016,1,6,1,534744
2016,1,6,2,544942
2016,1,6,3,544346
2016,1,6,4,534570
2016,1,6,5,512799
2016,1,6,6,488887
2016,1,6,7,469261
2016,1,6,8,459155
2016,1,6,9,450945
2016,1,6,10,447993
2016,1,6,11,449930
2016,1,6,12,463779
2016,1,6,13,495875
2016,1,6,14,524476
2016,1,6,15,530371
2016,1,6,16,524102
2016,1,6,17,515607
2016,1,6,18,505308
2016,1,6,19,494611
2016,1,6,20,485660
2016,1,6,21,478500
2016,1,6,22,475094
2016,1,6,23,478475
2016,1,6,24,496709
2016,1,7,1,515483
2016,1,7,2,521513
2016,1,7,3,518762
2016,1,7,4,507256
2016,1,7,5,486552
2016,1,7,6,461683
2016,1,7,7,440172
2016,1,7,8,425677
2016,1,7,9,416100
2016,1,7,10,410563
2016,1,7,11,411275
2016,1,7,12,423831
2016,1,7,13,454477
2016,1,7,14,483481
2016,1,7,15,491810
2016,1,7,16,490922
2016,1,7,17,488545
2016,1,7,18,479062
2016,1,7,19,473188
2016,1,7,20,465668
2016,1,7,21,459803
2016,1,7,22,456692
2016,1,7,23,458480
2016,1,7,24,473763
2016,1,8,1,489253
2016,1,8,2,494737
2016,1,8,3,492038
2016,1,8,4,482273
2016,1,8,5,462073
2016,1,8,6,437343
2016,1,8,7,415511
2016,1,8,8,400351
2016,1,8,9,389660
2016,1,8,10,384763
2016,1,8,11,385023
2016,1,8,12,395779
2016,1,8,13,426232
2016,1,8,14,455608
2016,1,8,15,467305
2016,1,8,16,472681
2016,1,8,17,476863
2016,1,8,18,475145
2016,1,8,19,468790
2016,1,8,20,463691
2016,1,8,21,459074
2016,1,8,22,454688
2016,1,8,23,454564
2016,1,8,24,463607
2016,1,9,1,472766
2016,1,9,2,473634
2016,1,9,3,468493
2016,1,9,4,459355
2016,1,9,5,443721
2016,1,9,6,424413
2016,1,9,7,406208
2016,1,9,8,388717
2016,1,9,9,377690
2016,1,9,10,372362
2016,1,9,11,370552
2016,1,9,12,374099
2016,1,9,13,382598
2016,1,9,14,397596
2016,1,9,15,415324
2016,1,9,16,431202
2016,1,9,17,442191
2016,1,9,18,445623
2016,1,9,19,443756
2016,1,9,20,438635
2016,1,9,21,433775
2016,1,9,22,431255
2016,1,9,23,434697
2016,1,9,24,447048
2016,1,10,1,459441
2016,1,10,2,464178
2016,1,10,3,462706
2016,1,10,4,455888
2016,1,10,5,443616
2016,1,10,6,428038
2016,1,10,7,412841
2016,1,10,8,380396
2016,1,10,9,371682
2016,1,10,10,366863
2016,1,10,11,366057
2016,1,10,12,369396
2016,1,10,13,378288
2016,1,10,14,391797
2016,1,10,15,406948
2016,1,10,16,420620
2016,1,10,17,428450
2016,1,10,18,429739
2016,1,10,19,429018
2016,1,10,20,425245
2016,1,10,21,419764
2016,1,10,22,411146
2016,1,10,23,419960
2016,1,10,24,435317
2016,1,11,1,457267
2016,1,11,2,469475
2016,1,11,3,473167
2016,1,11,4,468791
2016,1,11,5,456353
2016,1,11,6,439713
2016,1,11,7,425379
2016,1,11,8,445436
2016,1,11,9,440562
2016,1,11,10,440757
2016,1,11,11,447387
2016,1,11,12,465564
2016,1,11,13,503408
2016,1,11,14,537708
2016,1,11,15,547977
2016,1,11,16,543876
2016,1,11,17,536050
2016,1,11,18,524360
2016,1,11,19,511200
2016,1,11,20,501396
2016,1,11,21,492276
2016,1,11,22,486063
2016,1,11,23,488745
2016,1,11,24,507097
2016,1,12,1,526532
2016,1,12,2,542640
2016,1,12,3,543840
2016,1,12,4,535421
2016,1,12,5,517845
2016,1,12,6,494009
2016,1,12,7,476245
2016,1,12,8,463241
2016,1,12,9,455140
2016,1,12,10,451837
2016,1,12,11,454837
2016,1,12,12,468555
2016,1,12,13,501467
2016,1,12,14,532324
2016,1,12,15,539482
2016,1,12,16,532324
2016,1,12,17,521858
2016,1,12,18,510216
2016,1,12,19,498209
2016,1,12,20,488698
2016,1,12,21,480885
2016,1,12,22,474557
2016,1,12,23,476188
2016,1,12,24,492266
2016,1,13,1,513375
2016,1,13,2,525076
2016,1,13,3,526261
2016,1,13,4,519641
2016,1,13,5,504024
2016,1,13,6,483635
2016,1,13,7,465644
2016,1,13,8,455089
2016,1,13,9,449053
2016,1,13,10,447601
2016,1,13,11,452390
2016,1,13,12,469886
2016,1,13,13,505604
2016,1,13,14,537360
2016,1,13,15,545215
2016,1,13,16,537427
2016,1,13,17,525800
2016,1,13,18,512165
2016,1,13,19,499029
2016,1,13,20,487874
2016,1,13,21,480223
2016,1,13,22,475843
2016,1,13,23,479222
2016,1,13,24,495697
2016,1,14,1,515491
2016,1,14,2,525912
2016,1,14,3,526704
2016,1,14,4,518396
2016,1,14,5,499255
2016,1,14,6,476221
2016,1,14,7,456127
2016,1,14,8,443585
2016,1,14,9,434811
2016,1,14,10,430498
2016,1,14,11,434072
2016,1,14,12,449262
2016,1,14,13,482914
2016,1,14,14,512064
2016,1,14,15,519162
2016,1,14,16,511379
2016,1,14,17,499961
2016,1,14,18,485921
2016,1,14,19,471858
2016,1,14,20,462131
2016,1,14,21,454258
2016,1,14,22,449822
2016,1,14,23,451673
2016,1,14,24,463783
2016,1,15,1,482159
2016,1,15,2,491245
2016,1,15,3,491138
2016,1,15,4,482421
2016,1,15,5,462842
2016,1,15,6,440868
2016,1,15,7,420423
2016,1,15,8,406205
2016,1,15,9,397504
2016,1,15,10,393112
2016,1,15,11,395111
2016,1,15,12,407762
2016,1,15,13,437052
2016,1,15,14,466591
2016,1,15,15,477950
2016,1,15,16,480809
2016,1,15,17,482019
2016,1,15,18,477684
2016,1,15,19,470885
2016,1,15,20,465207
2016,1,15,21,459647
2016,1,15,22,455994
2016,1,15,23,457303
2016,1,15,24,464502
2016,1,16,1,472267
2016,1,16,2,474015
2016,1,16,3,470431
2016,1,16,4,462443
2016,1,16,5,447326
2016,1,16,6,429462
2016,1,16,7,411505
2016,1,16,8,397816
2016,1,16,9,388224
2016,1,16,10,383451
2016,1,16,11,382947
2016,1,16,12,388310
2016,1,16,13,398740
2016,1,16,14,415089
2016,1,16,15,431887
2016,1,16,16,445180
